"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping","Mapping: DICOM Tag Mapping","Mapping: HL7 v2 Mapping","Mapping: SNOMED CT Concept Domain Binding","Mapping: SNOMED CT Attribute Binding"
"Media","","","",0,*,"","","","","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference","A photo, video, or audio recording acquired or used in healthcare. The actual content may be inline or provided by direct reference.","","","","","","","","","",,,,,"",,,,"Media",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Event","Entity. Role, or Act","Act[classCode=""DGIMG"", moodCode=""EVN""]"
"Media.id","","","",0,1,"","","Y","string {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Media.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Media.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Media.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Media.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"Media.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"Media.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Media.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Media.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Identifier(s) for the image","Identifiers associated with the image - these may include identifiers for the image itself, identifiers for the context of its collection (e.g. series ids) and context ids such as accession numbers or other workflow identifiers.","The identifier label and use can be used to determine what kind of identifier it is.","","","","","","","","",,,,,"",,,,"Media.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.identifier",".id","FiveWs.identifier","0008,0018 | ~0008,0050 | 0020,000D | 0020,000E"
"Media.basedOn","","fulfills
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan]]}
","Procedure that caused this media to be created","A procedure that is fulfilled in whole or in part by the creation of this media.","","Allows tracing of authorization for the event and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"Media.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.basedOn",".outboundRelationship[typeCode=FLFS].target"
"Media.partOf","","container
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Part of referenced event","A larger event of which this particular event is a component or step.","Not to be used to link an event to an Encounter - use Media.encounter for that.[The allowed reference resources may be adjusted as appropriate for the event resource].","E.g. Drug administration as part of a procedure, procedure as part of observation, etc.","","","","","","","",,,,,"",,,,"Media.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.partOf",".inboundRelationship[typeCode=COMP].source[moodCode=EVN]"
"Media.status","","","",1,1,"","Y","Y","code {[]} {[]}
","preparation | in-progress | not-done | on-hold | stopped | completed | entered-in-error | unknown","The current state of the {{title}}.","A nominal state-transition diagram can be found in the [[event.html#statemachine | Event pattern]] documentationUnknown does not represent ""other"" - one of the defined statuses must apply.  Unknown is used when the authoring system is not sure what the current status is.","","","","","","","","",,"required","Codes identifying the lifecycle stage of an event.","http://hl7.org/fhir/ValueSet/event-status|4.0.1","",,,,"Media.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.status",".status","FiveWs.status","Varies by domain"
"Media.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Classification of media as image, video, or audio","A code that classifies whether the media is an image, video or audio recording or some other media category.","","Used for filtering what observations are retrieved and displayed.","","","","","","","",,"extensible","Codes for high level media categories.","http://hl7.org/fhir/ValueSet/media-type","",,,,"Media.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".code","FiveWs.class"
"Media.modality","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","The type of acquisition equipment/process","Details of the type of the media - usually, how it was acquired (what type of device). If images sourced from a DICOM system, are wrapped in a Media resource, then this is the modality.","","","","","","","","","",,"example","Detailed information about the type of the image - its kind, purpose, or the kind of equipment used to generate it.","http://hl7.org/fhir/ValueSet/media-modality","",,,,"Media.modality",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.code",".outboundRelationship[typeCode=""COMP].target[classCode=""LIST"", moodCode=""EVN""].code","FiveWs.what[x]","0008,0060 | 0008,1032"
"Media.view","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Imaging view, e.g. Lateral or Antero-posterior","The name of the imaging view e.g. Lateral or Antero-posterior (AP).","","","","","","","","","",,"example","Imaging view (projection) used when collecting an image.","http://hl7.org/fhir/ValueSet/media-view","",,,,"Media.view",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","DiagnosticImage.subjectOrientationCode"
"Media.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen], CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Who/What this Media is a record of","Who/What this Media is a record of.","","","","","","","","","",,,,,"",,,,"Media.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.subject",".participation[typeCode=""SUBJ""]???","FiveWs.subject[x]","FiveWs.subject","~0010,0020"
"Media.encounter","","context
","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter associated with media","The encounter that establishes the context for this media.","This will typically be the encounter the media occurred within.","Links the Media to the Encounter context.","","","","","","","",,,,,"",,,,"Media.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.encounter",".inboundRelationship(typeCode=COMP].source[classCode<=PCPR, moodCode=EVN]","FiveWs.context"
"Media.created[x]","","timing
","",0,1,"","","Y","dateTime {[]} {[]}
Period {[]} {[]}","When Media was collected","The date and time(s) at which the media was collected.","","","","","","","","","",,,,,"",,,,"Media.created[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.occurrence[x]",".effectiveTime","FiveWs.done[x]"
"Media.issued","","","",0,1,"","","Y","instant {[]} {[]}
","Date/Time this version was made available","The date and time this version of the media was made available to providers, typically after having been reviewed.","It may be the same as the [`lastUpdated` ](http://hl7.org/fhir/R4/resource-definitions.html#Meta.lastUpdated) time of the resource itself.  For Observations that do require review and verification for certain updates, it might not be the same as the `lastUpdated` time of the resource itself due to a non-clinically significant update that does not require the new version to be reviewed and verified again.","","","","","","","","",,,,,"",,,,"Media.issued",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","participation[typeCode=AUT].time","FiveWs.recorded","OBR.22 (or MSH.7), or perhaps OBX-19 (depends on who observation made)"
"Media.operator","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","The person who generated the image","The person who administered the collection of the image.","","","","","","","","","",,,,,"",,,,"Media.operator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.performer.actor",".participation[typeCode=""PERF""]???","FiveWs.actor","0008,1060?"
"Media.reasonCode","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Why was event performed?","Describes why the event occurred in coded or textual form.","Textual reasons can be captured using reasonCode.text.","","","","","","","","",,"example","The reason for the media.","http://hl7.org/fhir/ValueSet/procedure-reason","",,,,"Media.reasonCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.reasonCode",".reasonCode","FiveWs.why[x]"
"Media.bodySite","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Observed body part","Indicates the site on the subject's body where the observation was made (i.e. the target site).","Only used if not implicit in code found in Observation.code.  In many systems, this may be represented as a related observation instead of an inline component.   

If the use case requires BodySite to be handled as a separate resource (e.g. to identify and track separately) then use the standard extension[ bodySite](http://hl7.org/fhir/R4/extension-bodysite.html).","","","","","","","","",,"example","Codes describing anatomical locations. May include laterality.","http://hl7.org/fhir/ValueSet/body-site","",,,,"Media.bodySite",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","targetSiteCode","< 123037004 |Body structure|","718497002 |Inherent location|"
"Media.deviceName","","","",0,1,"","","Y","string {[]} {[]}
","Name of the device/manufacturer","The name of the device / manufacturer of the device  that was used to make the recording.","","","","","","","","","",,,,,"",,,,"Media.deviceName",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=""DEV""].role.player.Entity[classCode=""DEV""].name","0008,0070"
"Media.device","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceMetric], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Observing Device","The device used to collect the media.","An extension should be used if further typing of the device is needed.  Secondary devices used to support collecting a media can be represented using either extension or through the Observation.related element.","","","","","","","","",,,,,"",,,,"Media.device",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","participation[typeCode=DEV]","< 49062001 |Device|","424226004 |Using device|"
"Media.height","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Height of the image in pixels (photo/video)","Height of the image in pixels (photo/video).","","","","","","","","","",,,,,"",,,,"Media.height",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""COMP].target[classCode=""OBS"", moodCode=""EVN"",code=""<CODE>""].value","0028,0010"
"Media.width","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Width of the image in pixels (photo/video)","Width of the image in pixels (photo/video).","","","","","","","","","",,,,,"",,,,"Media.width",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""COMP].target[classCode=""OBS"", moodCode=""EVN"",code=""<CODE>""].value","0028,0011"
"Media.frames","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Number of frames if > 1 (photo)","The number of frames in a photo. This is used with a multi-page fax, or an imaging acquisition context that takes multiple slices in a single image, or an animated gif. If there is more than one frame, this SHALL have a value in order to alert interface software that a multi-frame capable rendering widget is required.","if the number of frames is not supplied, the value may be unknown. Applications should not assume that there is only one frame unless it is explicitly stated.","","","","","","","","",,,,,"",,,,"Media.frames",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""COMP].target[classCode=""OBS"", moodCode=""EVN"",code=""<CODE>""].value"
"Media.duration","","","",0,1,"","","Y","decimal {[]} {[]}
","Length in seconds (audio / video)","The duration of the recording in seconds - for audio and video.","The duration might differ from occurrencePeriod if recording was paused.","","","","","","","","",,,,,"",,,,"Media.duration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".outboundRelationship[typeCode=""COMP].target[classCode=""OBS"", moodCode=""EVN"",code=""<CODE>""].value","~0028,0002"
"Media.content","","","",1,1,"","","Y","Attachment {[]} {[]}
","Actual Media - reference or data","The actual content of the media - inline or by direct reference to the media source file.","Recommended content types: image/jpeg, image/png, image/tiff, video/mpeg, audio/mp4, application/dicom. Application/dicom can contain the transfer syntax as a parameter.  For media that covers a period of time (video/sound), the content.creationTime is the end time. Creation time is used for tracking, organizing versions and searching.","","","","","","","","",,,,,"",,,,"Media.content",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".text"
"Media.note","","","",0,*,"","","","Annotation {[]} {[]}
","Comments made about the media","Comments made about the media by the performer, subject or other participants.","Not to be used for observations, conclusions, etc. Instead use an [Observation](http://hl7.org/fhir/R4/observation.html) based on the Media/ImagingStudy resource.","","","","","","","","",,,,,"",,,,"Media.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.note",".inboundRelationship(typeCode=SUBJ].source[classCode=ANNGEN, moodCode=EVN].value[xsi:type=ST]","NTE"
